angle ; sinus ; cosinus ; tan ; artan
0 ; 0.000000 ; 1.000000 ; 0.000000 ; 0.000000 ; 
1 ; 0.017452 ; 0.999848 ; 0.017455 ; 0.017452 ; 
2 ; 0.034899 ; 0.999391 ; 0.034921 ; 0.034892 ; 
3 ; 0.052336 ; 0.998630 ; 0.052408 ; 0.052312 ; 
4 ; 0.069756 ; 0.997564 ; 0.069927 ; 0.069700 ; 
5 ; 0.087156 ; 0.996195 ; 0.087489 ; 0.087046 ; 
6 ; 0.104528 ; 0.994522 ; 0.105104 ; 0.104339 ; 
7 ; 0.121869 ; 0.992546 ; 0.122785 ; 0.121571 ; 
8 ; 0.139173 ; 0.990268 ; 0.140541 ; 0.138729 ; 
9 ; 0.156434 ; 0.987688 ; 0.158384 ; 0.155806 ; 
10 ; 0.173648 ; 0.984808 ; 0.176327 ; 0.172792 ; 
11 ; 0.190809 ; 0.981627 ; 0.194380 ; 0.189678 ; 
12 ; 0.207912 ; 0.978148 ; 0.212557 ; 0.206455 ; 
13 ; 0.224951 ; 0.974370 ; 0.230868 ; 0.223115 ; 
14 ; 0.241922 ; 0.970296 ; 0.249328 ; 0.239650 ; 
15 ; 0.258819 ; 0.965926 ; 0.267949 ; 0.256053 ; 
16 ; 0.275637 ; 0.961262 ; 0.286745 ; 0.272316 ; 
17 ; 0.292372 ; 0.956305 ; 0.305731 ; 0.288432 ; 
18 ; 0.309017 ; 0.951057 ; 0.324920 ; 0.304396 ; 
19 ; 0.325568 ; 0.945519 ; 0.344328 ; 0.320201 ; 
20 ; 0.342020 ; 0.939693 ; 0.363970 ; 0.335842 ; 
21 ; 0.358368 ; 0.933580 ; 0.383864 ; 0.351315 ; 
22 ; 0.374607 ; 0.927184 ; 0.404026 ; 0.366614 ; 
23 ; 0.390731 ; 0.920505 ; 0.424475 ; 0.381735 ; 
24 ; 0.406737 ; 0.913545 ; 0.445229 ; 0.396675 ; 
25 ; 0.422618 ; 0.906308 ; 0.466308 ; 0.411430 ; 
26 ; 0.438371 ; 0.898794 ; 0.487732 ; 0.425997 ; 
27 ; 0.453990 ; 0.891007 ; 0.509525 ; 0.440375 ; 
28 ; 0.469471 ; 0.882948 ; 0.531709 ; 0.454560 ; 
29 ; 0.484810 ; 0.874620 ; 0.554309 ; 0.468552 ; 
30 ; 0.500000 ; 0.866025 ; 0.577350 ; 0.482348 ; 
31 ; 0.515038 ; 0.857167 ; 0.600860 ; 0.495947 ; 
32 ; 0.529919 ; 0.848048 ; 0.624869 ; 0.509350 ; 
33 ; 0.544639 ; 0.838671 ; 0.649407 ; 0.522554 ; 
34 ; 0.559193 ; 0.829038 ; 0.674508 ; 0.535561 ; 
35 ; 0.573576 ; 0.819152 ; 0.700207 ; 0.548370 ; 
36 ; 0.587785 ; 0.809017 ; 0.726542 ; 0.560982 ; 
37 ; 0.601815 ; 0.798636 ; 0.753554 ; 0.573397 ; 
38 ; 0.615661 ; 0.788011 ; 0.781285 ; 0.585616 ; 
39 ; 0.629320 ; 0.777146 ; 0.809784 ; 0.597640 ; 
40 ; 0.642787 ; 0.766045 ; 0.839099 ; 0.609471 ; 
41 ; 0.656059 ; 0.754710 ; 0.869286 ; 0.621109 ; 
42 ; 0.669130 ; 0.743145 ; 0.900404 ; 0.632557 ; 
43 ; 0.681998 ; 0.731354 ; 0.932515 ; 0.643816 ; 
44 ; 0.694658 ; 0.719340 ; 0.965688 ; 0.654887 ; 
45 ; 0.707107 ; 0.707107 ; 1.000000 ; 0.665774 ; 
46 ; 0.719340 ; 0.694658 ; 1.035530 ; 0.676477 ; 
47 ; 0.731354 ; 0.681998 ; 1.072368 ; 0.687000 ; 
48 ; 0.743145 ; 0.669131 ; 1.110612 ; 0.697344 ; 
49 ; 0.754709 ; 0.656059 ; 1.150368 ; 0.707512 ; 
50 ; 0.766044 ; 0.642788 ; 1.191753 ; 0.717506 ; 
51 ; 0.777146 ; 0.629321 ; 1.234897 ; 0.727328 ; 
52 ; 0.788011 ; 0.615662 ; 1.279941 ; 0.736982 ; 
